标题,发布/编辑时间,赞同数,内容摘要,链接
如何跟孩子说清楚“咱们买不起”这个实情？,未知,0,要看是啥东西。 我小学一年级和我妈说能不能给我一亿元我要买个高架桥放校门口。 我妈就顺理成章的揍了我一顿。 因为我说不给我买我就不去上课了。…,https://www.zhihu.com/question/665451884/answer/2017702023940810137
青春是在哪一刻结束的?,未知,0,我到现在都还没结束……好像有点糟糕。 明明已经离开校园很多年了，但是我现在仍然有寒暑假的概念，每年春天还是在憧憬着夏天海边合宿和之后的夏季漫展。 我每周仍然还是要去学校里接女孩子放学，一如当年在校园里拉着…,https://www.zhihu.com/question/312025216/answer/2017683028902687299
部分宅男喜欢在网上扮二次元美少女的原因是什么？,未知,0,那我更冤枉了。 我一不用二次元头像，二不取可爱的名字，三不会隐瞒我的性别装女人。 都这样了我在网上还经常被人认为是女生。 我在知乎都吹水了那么多和小姑娘腻腻歪歪的日常，居然还会被认为是女的反串…… 我经常在聊…,https://www.zhihu.com/question/654807141/answer/2017286682261598709
为什么有些女孩在发现渣男的真面目以后，还喜欢他们？,未知,0,你因果关系颠倒了。 是因为某些男人就是会莫名其妙的让女人觉得，看到他就很开心。 然后女生会为了这种开心无条件的宠这个男人。 而这种男人只要被女生宠久了，就会明白自己有让别人开心的能力，他自然而然的就会去让更…,https://www.zhihu.com/question/287990632/answer/2017215902869890602
我将来想找一个从来不发脾气，不发火，不骂人，超级温柔的男朋友，我这算不算无理要求?,未知,0,这种男人很容易把人逼疯的。 不发脾气不骂人，实际上就是你做什么他都无所谓，你好不好他都不会告诉你。 超级温柔，就是说你怎么闹他都不会来纠正你，他无所谓。 你闹的太过分，他会默默的离开，你问他是不是生气了，他…,https://www.zhihu.com/question/1991387088118097584/answer/2017116814908347123
为什么有人会认为“基本盘”“国家优质资产”这类褒义词不是表扬而是侮辱?,未知,0,"讲真，我倒是觉得挺不好意思的。 我这种废物真的不配叫""国家优质资产"" 我既没有上班交税，也没有结婚买房，更没有当兵打仗。 我没有为国家做过什么贡献，倒是通过女朋友薅了不少社会主义羊毛。 我还经常不在国内消费。国家让干什么我也经常充耳不闻只想着睡觉做爱当米虫。 我不配当优秀资产。…",https://www.zhihu.com/question/1995427289236797313/answer/2016583962428986275
成绩能上一本，喜欢的男生却让我放弃好大学陪他读大专，我该为了感情妥协吗？,未知,0,"这么说吧 虽然我这个人渣到没边了——出轨，开后宫，脚踏三条船，和比自己小十来岁的小女孩交往。 可谓坏事做尽。 但是恶贯满盈如我，都不会想着要把一个姑娘绑死在我身边。 如果一个女生真的很聪明很有前途很厉害，我会和她说""我想看你变得闪闪发光，你未来的生活可以没有我，但那没关系，你的未来无可限量，你一定能站在舞台灯光的最中央的，我希…",https://www.zhihu.com/question/1963949270299317896/answer/2016567945204113529
男人做美甲会被路人觉得奇怪吗？,未知,0,我会修指甲打磨抛光上油，中二病的时候也会上黑色的指甲油。 但是我不会做美甲，那个真的和我太不搭了。…,https://www.zhihu.com/question/11325797466/answer/2016562686821967546
为何能量高的人会很吸引人？,未知,0,"吸不吸引人我不知道。我倒是经常被人恨之入骨。 很多人第一面有多喜欢我，之后就能有多恨我。 我cp说我太容易给人一种""看起来无所不能，可以让人依靠，觉得相当靠谱""的气息了。 我确实很容易让人取得信任，让人觉得舒服，我经常可以让一个第一次见面的人就对我掏心掏肺（比如某个金发笨蛋）。 但是我也过于的徒有其表了，我的无所谓不是因为我有…",https://www.zhihu.com/question/656099587/answer/2016559691837224353
29岁大龄剩女未结婚，真的嫁不出去了么？,未知,0,"其他地方我不知道。 在上海，29岁属于""还是小姑娘呢，还能再玩两年""的年纪。…",https://www.zhihu.com/question/3142954369/answer/2016488666319565404
为什么现在女生想找一个无条件对她好的男生越来越难了？,未知,0,假如你很喜欢一个男生，你会希望你的私生活里都是他，他的眼里都是你，就算他没办法事事帮你，但是只要他在你身边，你就会很开心，会有动力。 假如你不需要他介入你的私生活，不需要他对你有好感，那你大概率就是不喜欢他。 你不喜欢，还要求他对你不能有想法，还要什么事情都能帮你摆平？无条件对你好？你大脑是拼多多上批发的吧？…,https://www.zhihu.com/question/2015403111540359796/answer/2016484287235507191
如何看待女性呼吁男性服美役?,未知,0,"我妈就是觉得我长得还行所以每周都要折腾我。 我从小到大最害怕我妈说的一句话就是""走，给你买衣服去""。 我妈真的能逛一整天，一间间店给我试过来，裤子衣服鞋子还要搭配着来。 我妈是坚决不接受我穿淘宝货的。她特别看不上我的二次元审美。 每次我妈给我买完衣服还要带我去做头发，我头发每隔两周就要修一次，每个月都要做一次。 我妈会给我化妆修…",https://www.zhihu.com/question/2013731103308009931/answer/2016224307873849883
如何看待「当你错过了校园爱情，就错过了百分之九十五以上的获得真正爱情的机会」？,未知,0,"学校是天然分阵营的——老师是坏人，同学是队友 同学之间的关系其实相当于狱友。所以同学之间天然就会有一个基础感情。 学生时代很容易起话题的，你起码不用""你好，你多大？你是哪里人""开局然后就进入找不到话题的尴…",https://www.zhihu.com/question/51463365/answer/2016171730213823965
如何看待“不管出于什么原因都不能打女人”这句话？,未知,0,我是真的不打女人。 我男人都不打，更别说女人了。我从小就没脑子，第一次打架就奔着别人头去，把小朋友脑袋开了，后来是我爸赔的别人钱。 那以后我就开始和狗打架，因为狗的脑袋够硬。 再以后我就意识到：我没有任何打…,https://www.zhihu.com/question/404388982/answer/2015984065669510569
